typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20000101,2000,52,2000,156,,,M,,0,,,0,,,H1,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,225093731030.0,,225093731030.0,0,False,False
C,A,20010101,2001,52,2001,156,,,M,,0,,,0,,,H1,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,243552880618.0,,243552880618.0,0,False,False
C,A,20020101,2002,52,2002,156,,,M,,0,,,0,,,H2,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,295170104110.0,,295170104110.0,0,True,False
C,A,20030101,2003,52,2003,156,,,M,,0,,,0,,,H2,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,412759796407.0,,412759796407.0,0,True,False
C,A,20040101,2004,52,2004,156,,,M,,0,,,0,,,H2,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,561228747993.0,,561228747993.0,0,True,False
C,A,20050101,2005,52,2005,156,,,M,,0,,,0,,,H2,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,659952762119.0,,659952762119.0,0,True,False
C,A,20060101,2006,52,2006,156,,,M,,0,,,0,,,H2,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,791460867850.0,,791460867850.0,0,True,False
C,A,20070101,2007,52,2007,156,,,M,,0,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,956115447556.0,,956115447556.0,0,True,False
C,A,20080101,2008,52,2008,156,,,M,,0,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,1132562161442.0,,1132562161442.0,0,True,False
C,A,20090101,2009,52,2009,156,,,M,,0,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,1005555225206.0,,1005555225206.0,0,True,False
C,A,20100101,2010,52,2010,156,,,M,,0,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,1396001565258.0,,1396001565258.0,0,True,False
C,A,20110101,2011,52,2011,156,,,M,,0,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,1743394866363.0,,1743394866363.0,0,True,False
C,A,20120101,2012,52,2012,156,,,M,,0,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,1818199227571.0,,1818199227571.0,0,True,False
C,A,20130101,2013,52,2013,156,,,M,,0,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,1949992314705.0,,1949992314705.0,0,True,False
