typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20000101,2000,52,2000,818,,,M,,0,,,0,,,H0,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,14017798960.835,0.0,14017798960.835,4,False,True
C,A,20010101,2001,52,2001,818,,,M,,0,,,0,,,H0,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,12779474406.303,0.0,12779474406.303,0,False,True
C,A,20020101,2002,52,2002,818,,,M,,0,,,0,,,H0,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,12552432747.938,0.0,12552432747.938,4,False,True
C,A,20030101,2003,52,2003,818,,,M,,0,,,0,,,H0,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,11230513519.186,0.0,11230513519.186,0,False,True
C,A,20040101,2004,52,2004,818,,,M,,0,,,0,,,H0,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,12864342242.21,0.0,12864342242.21,0,False,True
C,A,20050101,2005,52,2005,818,,,M,,0,,,0,,,H0,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,19846709348.182,0.0,19846709348.182,0,False,True
C,A,20060101,2006,52,2006,818,,,M,,0,,,0,,,H0,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,20647785702.252,0.0,20647785702.252,0,False,True
C,A,20070101,2007,52,2007,818,,,M,,0,,,0,,,H0,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,27078737870.403,0.0,27078737870.403,0,False,True
C,A,20080101,2008,52,2008,818,,,M,,0,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,53596368525.708,0.0,53596368525.708,0,False,True
C,A,20090101,2009,52,2009,818,,,M,,0,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,45429547205.986,0.0,45429547205.986,0,False,True
C,A,20100101,2010,52,2010,818,,,M,,0,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,53003406057.0,,53003406057.0,0,True,False
C,A,20110101,2011,52,2011,818,,,M,,0,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,62282016834.0,,62282016834.0,0,True,False
C,A,20120101,2012,52,2012,818,,,M,,0,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,69865551868.0,,69865551868.0,0,True,False
C,A,20130101,2013,52,2013,818,,,M,,0,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,66666448662.0,,66666448662.0,0,True,False
C,A,20140101,2014,52,2014,818,,,M,,0,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,71337744441.0,,71337744441.0,0,True,False
C,A,20150101,2015,52,2015,818,,,M,,0,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,73998025065.793,0.0,73998025065.793,0,False,True
C,A,20160101,2016,52,2016,818,,,M,,0,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,70670153153.47,0.0,70670153153.47,0,False,True
C,A,20170101,2017,52,2017,818,,,M,,0,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,False,0.0,False,66767508579.595,0.0,66767508579.595,0,False,True
C,A,20180101,2018,52,2018,818,,,M,,0,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,81909517664.928,,81909517664.928,0,False,True
C,A,20190101,2019,52,2019,818,,,M,,0,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,,False,0.0,False,76514916839.344,,76514916839.344,0,False,True
