typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20000101,2000,52,2000,364,,,M,,0,,,0,,,H1,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,13626007038.0,,13626007038.0,0,False,False
C,A,20010101,2001,52,2001,364,,,M,,0,,,0,,,H1,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,16173077887.0,,16173077887.0,0,False,False
C,A,20020101,2002,52,2002,364,,,M,,0,,,0,,,H1,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,20335748604.0,,20335748604.0,0,False,False
C,A,20030101,2003,52,2003,364,,,M,,0,,,0,,,H2,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,25638123300.0,,25638123300.0,0,True,False
C,A,20040101,2004,52,2004,364,,,M,,0,,,0,,,H2,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,32997068838.0,,32997068838.0,0,True,False
C,A,20050101,2005,52,2005,364,,,M,,0,,,0,,,H2,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,38674659916.0,,38674659916.0,0,True,False
C,A,20060101,2006,52,2006,364,,,M,,0,,,0,,,H2,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,40685758840.0,,40685758840.0,0,True,False
C,A,20100101,2010,52,2010,364,,,M,,0,,,0,,,H2,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,54697235524.0,,54697235524.0,0,True,False
C,A,20110101,2011,52,2011,364,,,M,,0,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,68319000000.0,,68319000000.0,0,True,False
C,A,20130101,2013,52,2013,364,,,M,,0,,,0,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,48431894719.18,,48431894719.18,4,False,True
C,A,20140101,2014,52,2014,364,,,M,,0,,,0,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,52249794971.18,,52249794971.18,0,False,True
C,A,20150101,2015,52,2015,364,,,M,,0,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,40037159161.0,,40037159161.0,4,False,True
C,A,20160101,2016,52,2016,364,,,M,,0,,,0,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,42702117908.18,,42702117908.18,0,False,True
C,A,20170101,2017,52,2017,364,,,M,,0,,,0,,,H5,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,51612276867.0,,51612276867.0,0,False,True
C,A,20180101,2018,52,2018,364,,,M,,0,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,41236168450.0,,41236168450.0,4,False,True
C,A,20190101,2019,52,2019,364,,,M,,0,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,43975567840.0,,43975567840.0,4,False,True
C,A,20200101,2020,52,2020,364,,,M,,0,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,38804577814.0,,38804577814.0,4,False,True
C,A,20210101,2021,52,2021,364,,,M,,0,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,52957971518.342,,52957971518.342,4,False,True
C,A,20220101,2022,52,2022,364,,,M,,0,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,58726180300.0,,58726180300.0,4,False,True
