date,value
20260509T000000Z,0.012
20260510T000000Z,0.0206
20260511T000000Z,0.0527
20260512T000000Z,0.0809
20260513T000000Z,0.0616
20260514T000000Z,0.0209
20260515T000000Z,0.0479
20260516T000000Z,0.0294
20260517T000000Z,0.013
20260518T000000Z,0.024
20260519T000000Z,0.0308
20260520T000000Z,0.0813
20260521T000000Z,0.0231
20260522T000000Z,0.0117
20260523T000000Z,0.047
20260524T000000Z,0.0169
20260525T000000Z,0.0148
20260526T000000Z,0.0085
20260527T000000Z,0.0155
20260528T000000Z,0.0256
20260529T000000Z,0.0488
20260530T000000Z,0.0183
20260531T000000Z,0.0032
20260601T000000Z,0.0119
20260602T000000Z,0.0104
20260603T000000Z,0.0222
20260604T000000Z,0.0168
20260605T000000Z,0.0145
20260606T000000Z,0.0058
20260607T000000Z,0.0116
20260608T000000Z,0.0267
20260609T000000Z,0.0122
20260610T000000Z,0.0145
20260611T000000Z,0.0158
20260612T000000Z,0.01
20260613T000000Z,0.0111
20260614T000000Z,0.009
20260615T000000Z,0.0148
20260616T000000Z,0.017
20260617T000000Z,0.0555
20260618T000000Z,0.0064
20260619T000000Z,0.0103
20260620T000000Z,0.0103
20260621T000000Z,0.0075
20260622T000000Z,0.0079
20260623T000000Z,0.0433
20260624T000000Z,0.0191
20260625T000000Z,0.0164
20260626T000000Z,0.0074
20260627T000000Z,0.0092
20260628T000000Z,0.0046
20260629T000000Z,0.0142
20260630T000000Z,0.0129
20260705T000000Z,0.0111
20260706T000000Z,0.0132
20260707T000000Z,0.0374
20260708T000000Z,0.0139
20260709T000000Z,0.0078
20260710T000000Z,0.0085
20260711T000000Z,0.0061
20260712T000000Z,0.0072
20260713T000000Z,0.0147
20260714T000000Z,0.0112
20260715T000000Z,0.0099
20260716T000000Z,0.0109
20260717T000000Z,0.0099
20260718T000000Z,0.0097
20260719T000000Z,0.005
20260720T000000Z,0.0224
20260721T000000Z,0.0168
20260722T000000Z,0.0392
20260723T000000Z,0.0295
20260724T000000Z,0.011
20260725T000000Z,0.0043
20260726T000000Z,0.0253
20260727T000000Z,0.0087
20260728T000000Z,0.0078
20260729T000000Z,0.0099
20260730T000000Z,0.0101
20260731T000000Z,0.0145
