date,value
20260511T000000Z,0.0
20260512T000000Z,0.0006
20260513T000000Z,0.0006
20260514T000000Z,0.0019
20260515T000000Z,0.0006
20260516T000000Z,0.0007
20260517T000000Z,0.0
20260518T000000Z,0.0
20260519T000000Z,0.0021
20260520T000000Z,0.0013
20260521T000000Z,0.0011
20260522T000000Z,0.0006
20260523T000000Z,0.0
20260524T000000Z,0.0
20260525T000000Z,0.0
20260526T000000Z,0.002
20260527T000000Z,0.0017
20260528T000000Z,0.0
20260529T000000Z,0.0
20260530T000000Z,0.0
20260531T000000Z,0.0043
20260601T000000Z,0.0
20260602T000000Z,0.0104
20260603T000000Z,0.0017
20260604T000000Z,0.0005
20260605T000000Z,0.0013
20260606T000000Z,0.001
20260607T000000Z,0.0
20260608T000000Z,0.0174
20260609T000000Z,0.0038
20260610T000000Z,0.0006
20260611T000000Z,0.0023
20260612T000000Z,0.0006
20260613T000000Z,0.0017
20260614T000000Z,0.0013
20260615T000000Z,0.0
20260616T000000Z,0.0
20260617T000000Z,0.0057
20260618T000000Z,0.0012
20260619T000000Z,0.0032
20260620T000000Z,0.0
20260621T000000Z,0.0009
20260622T000000Z,0.0012
20260623T000000Z,0.0006
20260624T000000Z,0.0
20260625T000000Z,0.0012
20260626T000000Z,0.0
20260627T000000Z,0.0
20260628T000000Z,0.0
20260629T000000Z,0.0
20260630T000000Z,0.0
20260705T000000Z,0.003
20260706T000000Z,0.0018
20260707T000000Z,0.0007
20260708T000000Z,0.0006
20260709T000000Z,0.0006
20260710T000000Z,0.0
20260711T000000Z,0.0009
20260712T000000Z,0.0
20260713T000000Z,0.0073
20260714T000000Z,0.0088
20260715T000000Z,0.0029
20260716T000000Z,0.0092
20260717T000000Z,0.0064
20260718T000000Z,0.0056
20260719T000000Z,0.006
20260720T000000Z,0.0085
20260721T000000Z,0.0314
20260722T000000Z,0.0258
20260723T000000Z,0.0467
20260724T000000Z,0.0356
20260725T000000Z,0.052
20260726T000000Z,0.0283
20260727T000000Z,0.0319
20260728T000000Z,0.0119
20260729T000000Z,0.0148
20260730T000000Z,0.0119
20260731T000000Z,0.0127
20260801T000000Z,0.0091
20260802T000000Z,0.0048
20260803T000000Z,0.0059
