date,value
20260512T000000Z,0.0068
20260513T000000Z,0.0056
20260514T000000Z,0.0089
20260515T000000Z,0.0026
20260516T000000Z,0.0185
20260517T000000Z,0.0102
20260518T000000Z,0.003
20260519T000000Z,0.0042
20260520T000000Z,0.0054
20260521T000000Z,0.0208
20260522T000000Z,0.0273
20260523T000000Z,0.0141
20260524T000000Z,0.004
20260525T000000Z,0.0178
20260526T000000Z,0.0098
20260527T000000Z,0.0022
20260528T000000Z,0.0075
20260529T000000Z,0.0028
20260530T000000Z,0.0043
20260531T000000Z,0.0065
20260601T000000Z,0.0038
20260602T000000Z,0.0208
20260603T000000Z,0.004
20260604T000000Z,0.0061
20260605T000000Z,0.0105
20260606T000000Z,0.0049
20260607T000000Z,0.007
20260608T000000Z,0.0043
20260609T000000Z,0.0224
20260610T000000Z,0.0109
20260611T000000Z,0.0053
20260612T000000Z,0.0325
20260613T000000Z,0.0034
20260614T000000Z,0.0064
20260615T000000Z,0.0148
20260616T000000Z,0.0136
20260617T000000Z,0.0218
20260618T000000Z,0.0058
20260619T000000Z,0.0006
20260620T000000Z,0.0148
20260621T000000Z,0.0056
20260622T000000Z,0.0031
20260623T000000Z,0.0055
20260624T000000Z,0.0073
20260625T000000Z,0.0053
20260626T000000Z,0.0052
20260627T000000Z,0.0023
20260628T000000Z,0.003
20260629T000000Z,0.005
20260630T000000Z,0.0069
20260705T000000Z,0.003
20260706T000000Z,0.0062
20260707T000000Z,0.0211
20260708T000000Z,0.007
20260709T000000Z,0.0084
20260710T000000Z,0.0065
20260711T000000Z,0.0017
20260712T000000Z,0.0054
20260713T000000Z,0.0092
20260714T000000Z,0.0047
20260715T000000Z,0.0058
20260716T000000Z,0.0103
20260717T000000Z,0.0023
20260718T000000Z,0.0032
20260719T000000Z,0.0101
20260720T000000Z,0.0131
20260721T000000Z,0.013
20260722T000000Z,0.0067
20260723T000000Z,0.0068
20260724T000000Z,0.0082
20260725T000000Z,0.0087
20260726T000000Z,0.1032
20260727T000000Z,0.0276
20260728T000000Z,0.0155
20260729T000000Z,0.0123
20260730T000000Z,0.0036
20260731T000000Z,0.016
20260801T000000Z,0.01
20260802T000000Z,0.0058
20260803T000000Z,0.0075
20260804T000000Z,0.0229
