date,value
20260511T000000Z,1.6899
20260512T000000Z,1.6532
20260513T000000Z,1.3163
20260514T000000Z,1.2905
20260515T000000Z,1.4333
20260516T000000Z,0.9827
20260517T000000Z,0.9631
20260518T000000Z,1.0516
20260519T000000Z,1.1136
20260520T000000Z,1.07
20260521T000000Z,0.9378
20260522T000000Z,1.1381
20260523T000000Z,1.3721
20260524T000000Z,1.8836
20260525T000000Z,1.396
20260526T000000Z,1.1766
20260527T000000Z,1.063
20260528T000000Z,1.3232
20260529T000000Z,1.1587
20260530T000000Z,0.9331
20260531T000000Z,0.886
20260601T000000Z,1.1649
20260602T000000Z,0.861
20260603T000000Z,1.0202
20260604T000000Z,0.8264
20260605T000000Z,0.55
20260606T000000Z,0.9559
20260607T000000Z,1.0205
20260608T000000Z,0.9001
20260609T000000Z,1.0781
20260610T000000Z,1.4921
20260611T000000Z,1.6709
20260612T000000Z,1.2135
20260613T000000Z,1.379
20260614T000000Z,1.358
20260615T000000Z,2.6543
20260616T000000Z,1.5383
20260617T000000Z,1.807
20260618T000000Z,1.9912
20260619T000000Z,1.4614
20260620T000000Z,1.49
20260621T000000Z,2.0707
20260622T000000Z,1.5112
20260623T000000Z,1.0315
20260624T000000Z,0.9456
20260625T000000Z,0.9823
20260626T000000Z,0.8221
20260627T000000Z,1.1798
20260628T000000Z,1.2524
20260629T000000Z,1.1071
20260630T000000Z,0.7003
20260705T000000Z,0.7742
20260706T000000Z,0.5908
20260707T000000Z,0.989
20260708T000000Z,2.3905
20260709T000000Z,1.5088
20260710T000000Z,0.9039
20260711T000000Z,1.0304
20260712T000000Z,1.8253
20260713T000000Z,1.7507
20260714T000000Z,2.0496
20260715T000000Z,1.3574
20260716T000000Z,1.2365
20260717T000000Z,1.0553
20260718T000000Z,1.1512
20260719T000000Z,1.254
20260720T000000Z,1.4059
20260721T000000Z,1.0716
20260722T000000Z,1.1477
20260723T000000Z,1.047
20260724T000000Z,1.0043
20260725T000000Z,0.7867
20260726T000000Z,1.1367
20260727T000000Z,0.7671
20260728T000000Z,0.6395
20260729T000000Z,0.9075
20260730T000000Z,0.9842
20260731T000000Z,0.5097
20260801T000000Z,0.6022
20260802T000000Z,0.9363
20260803T000000Z,0.9921
