indicator,country,countryiso3code,date,value,unit,obs_status,decimal,indicator_name
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2025,,,,2,logistics_performance
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2024,,,,2,logistics_performance
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2023,,,,2,logistics_performance
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2022,3.1,,,2,logistics_performance
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2021,,,,2,logistics_performance
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2020,,,,2,logistics_performance
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2019,,,,2,logistics_performance
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2018,2.82,,,2,logistics_performance
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2017,,,,2,logistics_performance
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2016,3.184964,,,2,logistics_performance
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2015,,,,2,logistics_performance
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2014,2.965911,,,2,logistics_performance
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2013,,,,2,logistics_performance
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2012,2.98,,,2,logistics_performance
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2011,,,,2,logistics_performance
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2010,2.61,,,2,logistics_performance
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2009,,,,2,logistics_performance
"{'id': 'LP.LPI.OVRL.XQ', 'value': 'Logistics performance index: Overall (1=low to 5=high)'}","{'id': 'EG', 'value': 'Egypt, Arab Rep.'}",EGY,2008,,,,2,logistics_performance
